用户名,推荐,游戏时长,评论
全宇宙最大的坏坏,Not Recommended,0.1 hrs on record,出手游那会儿就是与许多好策划烂玩法的手游相对应的一个游戏界绝对经典案例，可见一个经典玩法可以让初生狗卡活多久————从上古天价伞事件，到出实体卡祢衡彻底宣布放弃实体卡玩家，到每年实体大包的蚊子肉，到老服武将不兼容新服改抽卡，到“通渠”，到直播脸都不要了花钱找骂，等等等等，煽动玩家对立，变相隐性赌博，好好好狗卡你真是这个。我就是要做三国杀的伍子胥，把眼睛抠出来挂在城门上，亲眼看着三千越甲入城，亲眼看着你狗卡倒台的那天。
pfrbfwmq,Not Recommended,0.2 hrs on record,没有泳装黄盖，差评
我爱02,Recommended,0.1 hrs on record,可以
Evesiesta,Not Recommended,2.4 hrs on record,没想到差评如潮的游戏这么上头好玩，定叫你差评如潮。
sha'zhau,Not Recommended,25.2 hrs on record (24.9 hrs at review time),自昨日游玩至今，大大耽误了我期末周的复习，更过分的是，游玩很不愉快！！！什么变态武将能在第一回合把牌起光！不氪金根本没法和氪金的打！更更过分的是，明天考试还没复习！就是因为三国杀！如果我过不了，三国杀全责！！！
1637529222,Not Recommended,138.1 hrs on record,好玩
酸柚大王拐卖小南娘卖,Not Recommended,0.3 hrs on record,好玩！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
Alan,Not Recommended,9.4 hrs on record (7.4 hrs at review time),你猜猜我为什么评论
不爱玩游戏,Recommended,0.1 hrs on record,打瓦之前来上一把三国杀真是快哉。
Wegame第一突破手小王,Not Recommended,3.7 hrs on record (3.6 hrs at review time),垃圾啊垃圾
沉沦,Not Recommended,4.5 hrs on record (2.0 hrs at review time),想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
yogeththu,Recommended,3.3 hrs on record,今天心情不好，给个好评
life9tervfaluca,Not Recommended,0.4 hrs on record,不好玩，我去你妈的
岁月留人,Not Recommended,19.7 hrs on record (18.5 hrs at review time),今天踩到狗屎了，来刷个差评。
LUUUUxiaokeai,Not Recommended,1.5 hrs on record,真勾吧恶心，一个桌游，居然把自建房锁起，还要升级才解锁，升级了还要收集英雄，策划四个妈
难念,Not Recommended,9.6 hrs on record,。
yuelin_0234,Not Recommended,0.5 hrs on record,今天老登布置的的作业太多的，来刷差评来的
在野之鹤,Not Recommended,0.1 hrs on record,游戏太好玩了。给你个好评但是不小心点错了。
无奇,Not Recommended,22.6 hrs on record (22.5 hrs at review time),有很多氪金的地方，很多东西买不了
裆不胩蛋,Not Recommended,1.5 hrs on record,30级才可以解锁好友 解锁了也不能联机 要集卡才可以开标准场 我为什么不去拼多多砍一刀
阿祠,Not Recommended,0.3 hrs on record,今天心情好，打个差评
我菜别压力窝,Not Recommended,3.3 hrs on record,因为是三国杀
1901486945,Not Recommended,19.6 hrs on record,respect
当官才能查职场,Recommended,13.3 hrs on record (13.0 hrs at review time),纯是
古明地恋,Recommended,1.0 hrs on record,世界上最好玩的游戏
亚托莉アトリAtri,Not Recommended,59.3 hrs on record,为什么和女生聊天不会显示选项，一定是三国杀干的，差评
白刃,Not Recommended,9.4 hrs on record (9.2 hrs at review time),非常好玩的游戏，因此我要打一个差评
Roxy,Not Recommended,6.7 hrs on record,傻逼游戏！像我这种傻逼都能2连胜，这说明这游戏根本没有活人，全是电脑！垃圾游戏！！！差评！！！
辛逝纪符印战士,Recommended,1.5 hrs on record,byd2国服太吓人了，特来此刷个好评。嘻嘻
fly,Not Recommended,122.9 hrs on record (122.8 hrs at review time),蒸蒸日上
三玖,Not Recommended,0.3 hrs on record,，，，，，，，
退思,Not Recommended,40.0 hrs on record,我们的游戏正在蒸蒸日上
风止亦难平,Not Recommended,0.6 hrs on record,依旧答辩，我说白了
乾巧,Not Recommended,2.7 hrs on record,定叫你差评如潮
brock,Not Recommended,0.1 hrs on record,嫖娼嫖到孙笑川了过来给三国杀一个差评
3250558246,Not Recommended,3.6 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
事屑米饭,Not Recommended,0.1 hrs on record,太好玩了
你在地球之时,Not Recommended,1.7 hrs on record,又逼氪，武将强度又不平衡，还搞这么多服务器，出的武将名字一样效果不一样，真是司马了
花咲川学园天师要乐奈,Not Recommended,5.0 hrs on record,好玩
誓落,Not Recommended,1.6 hrs on record,没鹿爽都怪三国杀
金钱信徒——伯恩斯,Not Recommended,1.1 hrs on record,他妈的外卖吃到头发了，一定是三国杀干的，来给个差评消消气
KINKAN,Not Recommended,12.9 hrs on record,心情不好
空白,Recommended,0.2 hrs on record,三国杀差评梗像极了一种别扭的父子关系，通过给别的游戏刷好评来保住自己的差评地位，这种看似诋毁实则引流的手段来为游戏的蒸蒸日上做出贡献，就像是表面叛逆但实则十分孝顺的青春期孩子
南方见,Not Recommended,0.3 hrs on record,卡牌游戏涉不涉d懂得都懂
美味的爆炸,Not Recommended,0.2 hrs on record,今天有点不舒服
乔纳森·乔斯达,Not Recommended,0.5 hrs on record,兄弟们，我给三国杀打差评，你们如果有猎杀对决这个游戏的话也帮忙给个差评可好
323099751,Not Recommended,0.8 hrs on record,皇上，我是骠骑大将军啊！
神梦,Not Recommended,0.2 hrs on record,今天打无畏契约输了肯定是三国杀干的
WFZY,Recommended,0.2 hrs on record,游戏比kmr的影之诗好玩
大胖虎,Not Recommended,18.8 hrs on record,LAJI
仿生人也会有梦想吗,Not Recommended,2.4 hrs on record (2.3 hrs at review time),挺好的 想充钱都充不了
965477796,Recommended,137.2 hrs on record (136.2 hrs at review time),"这游戏玩家素质真得高，动不动用自己没有的家属问候其他玩家，太棒了。不得不好评了，动不动主公跑路。太酷了。The quality of this gamer is really high, and it is great to greet other players with family members who don't have themselves. I had to praise it, and I couldn't help the lord run away. That's cool."
笑纳,Not Recommended,26.7 hrs on record (24.8 hrs at review time),很好的游戏，使我的武将旋转
我爱的人隔山海,Not Recommended,6.4 hrs on record (1.1 hrs at review time),垃圾不要玩
小马,Not Recommended,25.8 hrs on record (22.1 hrs at review time),三国杀非常的好玩，角色技能毫无平衡性可言
帝弓仅以光速炫七个轮,Not Recommended,3.6 hrs on record (3.6 hrs at review time),狗屎
困,Recommended,0.3 hrs on record,GK私全价
561267368,Not Recommended,5.3 hrs on record,幽默
